Pág (PDF),Capítulo,Comentario,Corregido,Notas
37,3. Parte central,"Pueden ponerle cualquier nombre, más poético o más descriptivo, pero definitivamente este capítulo no se puede llamar ""parte central"" jajajajaja. Parece como si fuera un nombre genérico de un template. Puede ser algo como ""Generación de mundos"" o lo que sea. Si le ponen un nombre al sistema (EVIE o el que elijan) pueden usar ese nombre acá",TRUE,FASE 1: Cap 3 renombrado a 'Diseño y Arquitectura del Sistema'
37,3. Parte central,"PAYADOR va en mayúscula, recuerden (porque es un acrónimo)",TRUE,FASE 4: Verificado - consistente en todo el documento
37,3. Parte central,"""juego que ofrece el sistema actual."" --- ¿Cuál es el sistema actual?  En todo caso, quizás quieren decir ""mantener o mejorar el desempeño que el sistema PAYADOR ofrece"". Obviamente este comentario que les dejo está relacionado con ese cambio de mentalidad en que esto no es PAYADOR v2 sino otra cosa más sarpada construida usando PAYADOR como ingrediente",TRUE,
37,3. Parte central,"""Este enfoque surgi´o como soluci´on a problemas cr´ıticos observados en aproximaciones m´as directas, "" -- no entendí lo de ""aproximaciones más directas""",TRUE,
37,3. Parte central,"Cuando empiezan a poner los títulos de los componentes que integran la arquitectura, hagan un enganche, tipo ""A continuación mencionaremos cada uno de estos componentes, indicando en qué sección se describirán en profundidad"". Pero además todas estas son contribuciones de ustedes, no estaban en el PAYADOR original, así que pueden incluso decir: ""A continuación mencionaremos cada uno de estos componentes --- que son parte de las contribuciones de este trabajo --- indicando en qué sección se describirán en profundidad"". ",TRUE,FASE 1: Agregado enganche con menciones explícitas a contribuciones y referencias \ref{}
37,3. Parte central,"""responsabilidad creativa"" hay que definirlo y citar algo, puede ser esto: https://ebooks.iospress.nl/doi/10.3233/978-1-61499-098-7-21",TRUE,
37,3. Parte central,"En ""Sistema de representaci´on estructurada"" refieren dos veces a la 3.2.2 ¿está bien eso? Si es así, no lo hagan; reacomoden el párrafo para que se refiera solo una vez. De no ser así, corrijan la referencia :)",FALSE,
37,3. Parte central,"Es un poco raro que mencionen el objetivo ""SOLVE_MYSTERY"" cuando no mencionan a los otros, no dicen cuántos son en total, ni tampoco explican más sobre ese SOLVE_MYSTERY.",TRUE,
38,3. Parte central,"De nuevo hay ejemplos entre paréntesis sin el ""p. ej.:""",TRUE,FASE 3: Agregado 'p. ej.:' a ~20 instancias de listas en paréntesis
38,3. Parte central,"""detallado en la sección XX"" -- faltó enlazar la seccion ahi, y métanle un futuro explícito ""que será detallado""",FALSE,
38,3. Parte central,"""puzle"" es la palabra en español. Si quieren usar la palabra en inglés (puzzle), pónganlo en cursiva",TRUE,FASE 4: Reemplazado 'puzzle(s)' por 'puzle(s)' en todo el documento (100+ instancias)
38,3. Parte central,"""MongoDB resulto ser mas que una simple funcionalidad de almacenamiento"" -- lenguaje marketingero: bajarle el tono. En general, si dicen ""La persistencia de mundos generados mediante MongoDB"" y enganchan de una con ""proporcionó capacidades de reproducibilidad"".... ya queda bien",TRUE,
38,3. Parte central,"""debugging"" va con cursiva",TRUE,FASE 4: Cambiado 'gameplay' a 'juego' (2 instancias). Otros anglicismos ya corregidos en FASE 3
38,3. Parte central,"""La capacidad de recuperar mundos exactos con problemas espec´ıficos aceler´o significativamente la"" --- pueden explicar esto mejor. Sean explícitos con que la idea es cargar un mundo generado y un estado del juego específico",TRUE,
38,3. Parte central,"De nuevo hay varios enlaces a ""XX""",FALSE,
38,3. Parte central,"""Esta nueva interfaz, usando Streamlit"" --> ""Esta nueva interfaz, usando la biblioteca Streamlit"" (o framework, lo que sea que les parezca poner ahí :) )",TRUE,
38,3. Parte central,"Ahora veo que en la parte de ""Interfaz de juego mejorada"" hablan de los cinco modos de juego. Bueno, les propongo que agreguen otro item más en este listado de componentes/aportes que sea ""Modos de juegos diferentes"" y ahí los nombren. Esto tiene que estar más arriba en esta lista de aportes de su trabajo, así en ""integración con Mongo DB"" pueden decir de una ""modo Replay"" y en ""Interfaz de juego mejorada"" no tienen que nombrar los 5 modos de juego",TRUE,
38,3. Parte central,""" y soporte multiling¨ue completo"" -- ser más específicos. Alguien de PLN puede pensar  (por intuición desarrollada en su actividad profesional) que hicieron alguna integración pensando en modelos multilingues",TRUE,
38,3. Parte central,"Al arrancar la 3.2.1 dicen al pasar lo de la estrategia one-shot. El lector va a pensar que se le perdió alguna página del PDF, porque nunca hablan de eso (porque acaban de empezar) pero parece que fuera ""tema pasado"". Agréguenle alguna introducción suave como ""Al inciar el proyecto hicimos varios experimentos preliminares usando una única llamada al LLM (...)"" y ahí digan tooooodo lo que tengan para decir sobre el asunto. Y luego sí, enganchen con qué fue lo que hicieron",TRUE,FASE 1: Agregada sección 'Motivación' en Pipeline explicando experimentos preliminares antes de presentar pipeline incremental
38,3. Parte central,"Mencionan de nuevo lo de la ""sobrecarga cognitiva del modelo"". Es raro eso, nunca lo había leído. Cámbienlo o citen de dónde sale. Me da la impresión de que están queriendo decir algo que puede ser definido/indicado en palabras simples",TRUE,
38,3. Parte central,"Che, por qué ponen este título en el párrafo? ""Motivación del diseño por etapas"". No es la primera vez que lo veo en los proyectos de grado de este año (antes no pasaba) ¿Es que GPT les sugiere ese estilo de escritura? Ese título no es necesario y está rompiendo el flujo de lectura. Fíjense que lo último que dicen en el párrafo anterior es lo de las 5 etapas, y al ver un título en negrita el lector va a pensar que esta es la primera etapa....y no.

... ¿o es que el template que dan en el EVA de proyecto de grado tiene subsubsecciones con ese formato? No las usen, es confuso.",TRUE,FASE 3: Eliminados TODOS los \paragraph y \subparagraph (~55 títulos) - integrados en texto con conectores
38,3. Parte central,"Ahora veo que lo que comenté arriba es lo que les pedí en el inicio de la 3.2.1: la descripción de los experimentos preliminares. Todo esto va ahi, al inicio. Y luego ya dicen lo del pipeline en 5 etapas y se meten de una a describirlas. Hacer esto, de anunciar una cosa, pasar a otra, y volver para atrás, para luego seguir con lo otro (A B A B) confunde muchísimo al lector.",TRUE,"FASE 1: Reorganizado flujo del Pipeline - experimentos preliminares al inicio, luego pipeline completo sin saltos"
39,3. Parte central,"""alcanz´abamos repetidamente el l´ımite de caracteres "" --- de caracteres o de tokens? (capaz que está bien caracteres, no digo que no, sólo lo dejo acá para que lo revisen)",TRUE,
39,3. Parte central,"""Para investigar estos problemas"" --> ""Para entender y caracterizar mejor estos problemas""                                       investigar es una palabra más dura",TRUE,
39,3. Parte central,"""(el mundo de la tortuga)"" no va, porque no usan luego eso. Lo adecuado es decir ""inspirada en uno de los mundos diseñados originalmente para evaluar PAYADOR"" y ahí meten cita a mi tesis de maestría (que les dejé el bibtex entre los comentarios del capítulo 2)",TRUE,
39,3. Parte central,"""Los resultados fueron significativamente superiores"" no va en negrita, ya con la estructura de poner "":"" al lado le están dando un énfasis como si fuera un título",TRUE,
39,3. Parte central,"""Si bien el enfoque incremental no elimina completamente los errores de generaci´on (particularmente en mundos de alta complejidad donde el LLM ocasionalmente puedesi omitir elementos o crear inconstencias) la frecuencia"" --- todo esto no va en el párrafo de los experimentos preliminares, porque ya están hablando de lo que van a presentar luego (el método en 5 pasos). Lo pueden ""mergear"" con el párrafo que viene luego ""Este resultado reveló""",TRUE,
39,3. Parte central,"""puedesi omitir""  --> ""puede omitir""",TRUE,
40,3. Parte central,"aparece de nuevo lo de ""carga cognitiva""",TRUE,
40,3. Parte central,"""La soluci´on evidente"" --- no, no es evidente. Saquen ese adjetivo y usen un lenguaje cauteloso: ""Inspirado en esos experimentos preliminares, proponemos que la creación del mundo se de en pasos incrementales, permitiendo que:""",TRUE,
40,3. Parte central,"""Se permita intervenci´on y validaci´on entre pasos"" --- intervencion humana? o hablan de que como son etapas aisladas puede ir logica programada en medio para verificar cosas? Sean explicitos con eso porque es importante",TRUE,
40,3. Parte central,"""(en modo Inspiration) "" --> ""(en el modo Inspiration)"" o ""(para el modo Inspiration)"".  Aplica lo mismo para cuando hablan del modo Generate",TRUE,
40,3. Parte central,"""Contexto narrativo que motiva la acci´on"" ----¿Qué acción? (me puse en modo ""pregunta del tribunal"")",TRUE,
40,3. Parte central,""" se crea primero el “porqué"" ---> ""se crea primero el por qué""",TRUE,
40,3. Parte central,""" ambientaci´on (medieval, ciencia ficci´on, moderna, fant´astica)"" --- ¿Esto es exhaustivo? Si son solo ejemplos, recuerden poner ""p. ej.:"". Aplica el mismo comentario para las categorías temáticas que nombran luego",TRUE,FASE 3: Agregado 'p. ej.:' correctamente
41,3. Parte central,"""Para resolver este problema, diseñamos"" --- esto no va en un párrafo aparte, porque es parte de lo que vienen describiendo en ""Modo Inspiration - Adherencia temática estricta""",TRUE,
41,3. Parte central,"""El tema proporcionado debe ser la base fundamental de TODO el concepto del mundo"" --- no va la mayúscula ahí. Pueden usar subrayado si quieren",TRUE,
41,3. Parte central,"""deben ser manifestaciones directas del tema"" --- ¿""manifestraciones"" es la palabra?",TRUE,"Lo cambie por ""componentes intrínsecamente ligados al tema"""
41,3. Parte central,"""Los personajes deben encarnar diferentes facetas del tema"" --- no entendi que quiere decir eso :/",TRUE,"Lo cambie por ""los personajes deben asumir roles que muestren distintas dimensiones del tema"""
41,3. Parte central,"¿Qué es la ""ruta crítica""? Si es ""la secuencia de acciones necesarias para llegar al objetivo"" pueden escribirlo como el item 3 ""Ubicaciones necesarias para completar el objetivo""",TRUE,Lo hice como sugiere
41,3. Parte central,"Pregunta de tribunal: cuando dicen ""Relaciones preliminares entre entidades"" ¿a qué entidades se refieren? Aclaren eso en el texto",FALSE,
42,3. Parte central,"""En esta etapa se utilizan los par´ametros"" --- no pueden decir ""los parámetros"" porque no los mencionaron antes. Pueden sacarle el determinante: ""En esta etapa se utilizan parámetros de configuración (especificados por el usuario o usando otros por defecto), que permiten controlar explícitamente el tamaño y complejidad del mundo:""",TRUE,
42,3. Parte central,"""N´umero de ubicaciones: Define la extensi´on espacial del mundo"" --- ¿por qué hablan de ""extensión del mundo"" si en los ítems de abajo fueron bien explícitos? Usen ese mismo tono acá: ""Define la cantidad de lugares del mundo"" o también puede ser ""ubicaciones"", dependiendo de cómo sea que lo decidan dejar
",TRUE,
42,3. Parte central,"Cuando hablan de la prompt y que le meten las restricciones de numero, me parece el momento perfecto para decirles esto y agregar una alerta general: metan todas las prompts en un anexo y refiéranlas desde el cuerpo del texto. De esa forma, este párrafo va a tener alguna parte que diga ""Esta prompt está disponible en el anexo X, donde se puede ver que la función que la genera recibe como parámetros estos valores que mencionamos"" ",TRUE,"FASE 2: Creado el anexo con todos los prompts organizados por función (Pipeline Pasos 1-4, Ciclo de Juego). Agregadas 2 referencias al anexo en documento principal"
42,3. Parte central,""" puzzles, el LLM debe generar exactamente esa cantidad de elementos en su propuesta, sea el n´umero especifico o un n´umero en el rango especificado"" --- parece que en cualquier de los dos casos sirviera cualquiera de las dos salidas. Y no, lo que ustedes quieren decir es que si el usuario especfica 5 ubicaciones, el LLM tiene que generar 5 ubicaciones, y que si especifica un rango tiene que generar un número de habitaciones en ese rango",TRUE,
42,3. Parte central,"Nuevamente el título en el párrafo en negrita ""Conexión con el objetivo principal"". Sáquenlo, no aporta nada. El párrafo ya funciona bien sin eso.",TRUE,
42,3. Parte central,"Veo que acá es cuando definen ""Ruta lógica"". Bueno, vean cómo corrigen eso con lo que les marqué antes en la página 41: no pueden decir ""ruta crítica"" sin explicar nada, si lo van a explicar recién en la siguiente página",TRUE,
42,3. Parte central,"""Sin embargo, como se detallar´a en el cap´ıtulo de evaluaci´on (Cap´ıtulo 5)"" --- falta link en Capitulo 5",TRUE,
42,3. Parte central,"""las pruebas posteriores revelaron que esto no fue completamente"" --- marea que usen ""posteriores"", porque parece que fueran ""posteriores a la evaluación"". Digan claramente, más sencillo: ""(...) como se detallará en el Capítulo 5, la evaluación con jugadores humanos reveló que esto no fue completamente suficiente""",TRUE,
42,3. Parte central,"""y de “accesorio”""  --> ""y accesorio"". El ""de"" no va",TRUE,
42,3. Parte central,"""un mundo más vívido"" -- va con tilde en la í. Sino es ""vivido"" tipo como cuando decimos ""ah la re vive bohh""",TRUE,FASE 4: Verificado - 'vívido' con tilde correcto
42,3. Parte central,"""la salida de esta etapa es una lista de entidades"" --- metan ejemplo. Falten ejemplos. Incluso si es posible, pongan un ejemplo de salida de cada parte del pipeline. Eso va a ayudar a que el lector entienda qué hace una parte con respecto a la anterior . Y es más, esto es tan importante que no iría con puntero a un anexo: iría como una figura del cuerpo central del texto",TRUE,FASE 1: Agregada Figura \ref{fig:ejemplo_esqueleto} mostrando salida del Paso 2 (esqueleto) con entidades clave en formato JSON
43,3. Parte central,"De nuevo, pongan el prompt del paso 3 en el anexo y apunten desde acá",TRUE,FASE 2: Prompt Paso 3 incluido en anexo con referencia agregada
43,3. Parte central,"¿Qué son los atributos de personajes y propiedades de objetos? Dejen los punteros a la sección donde lo expliquen en la estructura de clases. Además, aparece de vuelta el problema de los paréntesis sin saber si es exhaustivo o ejemplos",TRUE,
43,3. Parte central,"No me convence que le digan ""enfoque one-shot"" al enfoque de generar el mundo con una sola prompt. Cualquier PLNinja va a decir ""ah oK es one-shot porque le pasan 1 ejemplo"". O sea, hay conflicto de nomenclatura. Elijan otro nombre o usen lenguaje simple: ""en el enfoque de generar el mundo con una sola llamada al LLM"". Dejo alerta.",TRUE,FASE 1: Cambiado 'one-shot' por 'generación directa' en todo el documento para evitar confusión con few-shot learning
43,3. Parte central,Los títulos en negrita al inicio de cada párrafo confunden. Sáquenlos y articulen la redacción para que el flujo entre un párrafo y otro sea clara,TRUE,
43,3. Parte central,"""elementos ""flotantes"""" -- expliquen bien a qué se refieren. Eviten usar nombres para estas cosas que son simples de mencionar en la escritura",TRUE,
43,3. Parte central,"""etapa"" y ""paso"" es lo mismo ¿no? Diría que digan siempre ""etapa"" y ya está",TRUE,
43,3. Parte central,"""modelo tend´ıa a “expandirse creativamente” --- nuevamente, no usen nombres para cosas que luego no quedan claras. Cuando se le pone un nombre a un fenómeno es para documentarlo y usar solamente una o dos palabras para referirse a un cúmulo de cosas. E incluso en ese caso no es una herramienta perfecta: a veces el lector se olvida qué implicaba el concepto. Así que en este caso, que es bien facil recordar a qué se refieren, recuerden nomás y si quieren dejen puntero a la secicón donde lo mencionaron",TRUE,
43,3. Parte central,Al terminar la página vuelven a usar lo de ruta lógica. Acuérdense de aclararlo adecuadamente.,TRUE,
44,3. Parte central,"En esta página siguen los títulos por párrafo. Sáquenlos y traten de hilar los párrafos para que fluya bien la lectura. Para esto pueden ayudarse con cosas como ""Además, también incorporamos (...)"" o ""Lo anterior no quita que (...), por esa razón es que (...)"". También pueden usar conexiones entre párrafos más ""custom"" que las piensen caso a caso (por ejemplo: ""Pese al esfuerzo hecho para redactar la prompt, X_FENOMENO seguía pasando""); les tiré algunas más clásicas que pueden usar casi que siempre",TRUE,
44,3. Parte central,""" el n´umero de componentes principales de cada objetivo"" --- que son los componentes principales de cada objetivo?",TRUE,Le puse ref a donde se explican los objetivos
44,3. Parte central,""" para los objetivos de tipo misterio"" --- de nuevo hablan de esto sin definirlo :/ Es cierto que luego dicen que van a hablar más de los objetivos luego, pero ahí nace la pregunta: ¿entonces para qué hablan de un caso particular?",TRUE,
44,3. Parte central,""" El mundo en este punto es jugable"" -- agreguen una aclaración tipo ""(es decir, el mundo generado en el paso 3)""",TRUE,
45,3. Parte central,"Ojo con decir ""mapa"" porque no está definido qué quiere decir ¿se refiere al mundo?",TRUE,
45,3. Parte central,"¿Es necesario usar el concepto de dependency chains? Si es así tienen que citar qué es e incluso agregarlo al marco teórico. Y, si no, no lo mencionen y pónganlo más informalmente con sus palabras. ¿Vale la pena usar el concepto formal?",TRUE,"ehhh para mi no es formal, son mis palabras :c lo definí igual por las dudas"
45,3. Parte central,"De nuevo hablan de las ""rutas"", cuidado",TRUE,me parece que quedó más claro ahora
45,3. Parte central,"""Sin embargo, durante las etapas tempranas de testing"" --> ""Sin embargo, al hacer experimentos preliminares""",TRUE,
45,3. Parte central,"""Al analizar estos fallos, comprendimos que el problema radicaba en la complejidad creciente del esquema del mundo"" --- no va la negrita ahi",TRUE,
45,3. Parte central,De nuevo hay paréntesis que no se sabe si lista elementos exhaustivamente o ejemplos,FALSE,
45,3. Parte central,"De nuevo hay secciones sin enlazar con ""XX""",FALSE,
46,3. Parte central,"De nuevo hablan de los desafios ""flotantes"". Hay que definir bien esto porque lo usan muchas veces. Quizás vale la pena decir que cuando uno dice ""blablalblbal CONCEPTO (definicion timida)"" o ""balbalbalbal definicion timida (CONCEPTO)"" no consideramos que el concepto fue definido. Para que el lector se de cuenta posta que el concepto es importante hay que darle un papel protagonico en la escritura",FALSE,
46,3. Parte central,"""se establecieron reglas espec´ıficas"" --- no cambien a voz pasiva de repente, proque estan usando la primera persona del plural, asi que va ""establecimos"". Dejo alerta",TRUE,FASE 3: Corregido a voz activa primera persona plural en ~5 instancias
46,3. Parte central,"De nuevo hay un título en el párrafo. Sáquenlo e hilen ",FALSE,
46,3. Parte central,"De nuevo hay secciones sin enlazar con ""XX""",FALSE,
46,3. Parte central,"""dado que el motor del juego no admite funciones de crafting"" -- es innecesario usar el concepto de crafting cuando ya antes lo están explicando (y no usan el concepto en otro lado)",FALSE,
46,3. Parte central,"""Adem´as, si un puzzle otorgado por un personaje incluye una recompensa f´ısica"" --- ¿qué es una recompensa física?",FALSE,
46,3. Parte central,"""que transforman la experiencia de lineal a desafiante"" ---> ""que hacen la experiencia más desafiante""   eviten usar adjetivos y conceptos que no definieron",FALSE,
47,3. Parte central,"¿Qué quiere decir que una ubicación sea ""no crítica""? ¿No es simplemente que no se necesite para cumplir el objetivo? --- Usen lenguaje simple",FALSE,
47,3. Parte central,"Lo mismo con ""Personajes complementarios con narrativas propias"" --- -creo que basta con ""Personajes complementarios""
",FALSE,
47,3. Parte central,"¿QUé es ""exploraci´on lateral""?",FALSE,
47,3. Parte central,"""comentamos este paso del pipeline"" --- se están refiriendo a comentar una línea de código? porque no es algo adecuado a decir. La forma simple es decir ""evitamos esta etapa"" o ""no ejecutamos esta etapa""",FALSE,
47,3. Parte central,"Hablé con Luis y le pareció bien que les sugiera lo siguiente. Me parece que quedaría mejor si la 3.1 y la 3.2.1 (Visión general del pipeline y el pipeline en 5 pasos) y 3.2.2 fueran un capítulo aparte. De esa manera, tendrían un capítulo que sería de ""Diseño"" o ""Arquitectura"" y otro que sea de implementación. Fíjense que en el inicio del capítulo 3 está todo demasiado junto y entreverado, y el objetivo de la 3.2.3 en adelante es mucho más ""describir cómo funciona"", cuando el de la 3.1 y la 3.2.1 y la 3.2.2 es claramente ""darte una idea de cómo es el molde de la solución"". Además diría de que tienen que presentar el ""Estructura de clases"" (actual 3.2.2) antes del resto, porque cuando se ponen a explicar las etapas recurren muchísimas veces a hablar de cómo se componen. Eso les va a requererir que relean todo el nuevo capítulo, ""de pe a pa"", porque tienen algunas menciones a ""en la próxima sección describiremos la clase de mundo"". Pero realmente creo que el documento va a ganar claridad en esto: primero describen las clases del mundo y luego las 5 etapas en las que se instancias esas clases. Luego, en el siguiente capítulo, arrancan con ""World builder y validacion"", pasando por el game loop, la integración con LLMs y la interfaz, que es todo ""Implementación.

Cuando tengan el nuevo capítulo,  la sección que se llama ""Arquitectura del sistema"" no va a existir más (porque solamente van a presentar el pipeline y la estructura de clases). Eso es una buenísima noticia, porque van a ganar un nivel de jerarquía para poder categorizar los contenidos. Por ejemplo, eso quiere decir que en la sección ""Estructura de clases"" van a poder tener una subsección por cada clase, lo cual es una ganancia GIGANTE para la legibilidad del informe y la navegabilidad desde el índice",TRUE,FASE 1: División completa ejecutada. Cap3=Diseño (Visión+Clases+Pipeline+Validación). Cap4=Implementación (Pydantic+GameLoop+RAG+Mongo+Streamlit).
47,3. Parte central,"""story-driven, goal-oriented"" no sé qué quiere decir :(  UPDATE: lo explican más abajo. Ya se los comenté varias veces pero por las dudas va de vuelta: presten especial atención a eso que hacen a veces de anunciar algo, comentar otra cosa, y luego definir lo primero; marea mucho al lector :( No es que no se pueda usar esa estrategia (tipo cliffhanger en las películas), pero si lo hacen tiene que quedar bien, sin darle al lector la sensación de que se perdió de algo pero sí dándole la sensación de ""opaaaa a ver, qué será""",FALSE,
47,3. Parte central,"Fíjense que lo que les dejé acá arriba en amarillo tiene sentido cuando arrancan la 3.2.2. hablando de que replantearon la arquitectura del sistema. ",FALSE,
47,3. Parte central,"""No quer´ıamos mundos que fueran simplemente colecciones de elementos tem´aticamente coherentes; quer´ıamos mundos donde cada elemento tuviera un prop´osito funcional claro en la progresi´on hacia el objetivo."" --- destaco esta línea porque realmente es la muestra de cómo tienen que escribir: no hay conceptos oscuros, no hay referencias a términos no convencionales; es una explicación simple.",FALSE,
48,3. Parte central,"Atentos de nuevo a los paréntesis y en el item ""Puzzles con consecuencias"" hacen algo similar en ""en su definición: entregar ítems específicos, desbloquear pasajes (...)"". La pregunta es la misma: ¿es una lista exhaustiva o son solamente ejemplos?",FALSE,
48,3. Parte central,"Usan ""ítems"" y ""objetos"". Decídanse por una. Dejo alerta.",TRUE,"FASE 4: Reemplazado 'ítem(s)' por 'objeto(s)' en contextos narrativos (50+ instancias), preservado en atributos técnicos"
48,3. Parte central,"Vuelven a mencionar lo de ""goal-oriented"". Si se les hace tan importante, defínanlo antes",FALSE,
48,3. Parte central,"Tengan cuidado con el concepto ""la creatividad del modelo"". No hay tal cosa como la ""creatividad"" del modelo, sino la percepción que tenemos los humanos sobre cuán creativo es lo que generan. Remito de vuelta a este paper importante: https://ebooks.iospress.nl/doi/10.3233/978-1-61499-098-7-21",FALSE,
